Type of Event,Event Details,Link,Closing Date,Closing Time,Event Start Date,Event End Date
"Gandhi Shilp Bazar National, States, District",GSB(District)-Aurangabad,https://indian.handicrafts.gov.in/en/events/view/Mjgw,2024-08-20,23:45:00,2024-09-22,2024-09-28
"Gandhi Shilp Bazar National, States, District",GSB(State)-Prayagraj,https://indian.handicrafts.gov.in/en/events/view/Mjg3,2024-08-20,23:45:00,2024-09-17,2024-09-26
"Gandhi Shilp Bazar National, States, District",GSB(District)-Howrah,https://indian.handicrafts.gov.in/en/events/view/Mjk5,2024-08-20,23:45:00,2024-09-23,2024-09-29
"Gandhi Shilp Bazar National, States, District",GSB(State)-Vijaywada,https://indian.handicrafts.gov.in/en/events/view/MzQw,2024-08-20,23:45:00,2024-09-20,2024-09-29
"Gandhi Shilp Bazar National, States, District",GSB(District)-Karnal UH,https://indian.handicrafts.gov.in/en/events/view/Mjkz,2024-08-15,23:45:00,2024-09-15,2024-09-21
"Gandhi Shilp Bazar National, States, District",GSB(District)-Gorakhpur,https://indian.handicrafts.gov.in/en/events/view/MzEx,2024-08-15,23:45:00,2024-09-15,2024-09-21
"Gandhi Shilp Bazar National, States, District",GSB(District)-Rajahmundry,https://indian.handicrafts.gov.in/en/events/view/MzM5,2024-08-15,23:45:00,2024-08-30,2024-09-05
"Gandhi Shilp Bazar National, States, District",GSB(District)-Dhanbad,https://indian.handicrafts.gov.in/en/events/view/Mjc1,2024-08-10,23:45:00,2024-09-10,2024-09-16
"Gandhi Shilp Bazar National, States, District",GSB(State)-Durgapur UH,https://indian.handicrafts.gov.in/en/events/view/Mjg5,2024-08-10,23:45:00,2024-09-13,2024-09-22
"Gandhi Shilp Bazar National, States, District",GSB(State)-Surat,https://indian.handicrafts.gov.in/en/events/view/Mjkw,2024-08-10,23:45:00,2024-09-13,2024-09-22
"Gandhi Shilp Bazar National, States, District",GSB(District)-Indore UH,https://indian.handicrafts.gov.in/en/events/view/Mjgz,2024-08-05,23:45:00,2024-09-13,2024-09-19
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jhansi UH,https://indian.handicrafts.gov.in/en/events/view/Mjg1,2024-08-05,23:45:00,2024-09-14,2024-09-20
"Gandhi Shilp Bazar National, States, District",GSB(State)-Shimla,https://indian.handicrafts.gov.in/en/events/view/Mjg4,2024-08-05,23:45:00,2024-09-08,2024-09-17
"Gandhi Shilp Bazar National, States, District",GSB(District)-Agra UH,https://indian.handicrafts.gov.in/en/events/view/Mjky,2024-08-05,23:45:00,2024-09-05,2024-09-11
Dilli Haat,Dilli Haat (Sustainable Crafts),https://indian.handicrafts.gov.in/en/events/view/MjYy,2024-07-30,16:45:00,2024-09-01,2024-09-15
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jodhpur UH,https://indian.handicrafts.gov.in/en/events/view/Mjk0,2024-07-28,23:45:00,2024-08-02,2024-08-08
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mangaluru UH,https://indian.handicrafts.gov.in/en/events/view/Mjc4,2024-07-20,23:45:00,2024-09-16,2024-09-22
"Gandhi Shilp Bazar National, States, District",GSB (District)- Bhopal,https://indian.handicrafts.gov.in/en/events/view/Mjc2,2024-07-15,23:45:00,2024-09-11,2024-09-17
"Gandhi Shilp Bazar National, States, District",GSB(State)-Srinagar,https://indian.handicrafts.gov.in/en/events/view/Mjg2,2024-07-15,23:45:00,2024-08-01,2024-08-10
"Gandhi Shilp Bazar National, States, District",GSB(District) at Hazaribagh UH,https://indian.handicrafts.gov.in/en/events/view/Mjc0,2024-06-30,23:45:00,2024-08-07,2024-08-13
Dilli Haat,Dilli Haat (Handloom Day),https://indian.handicrafts.gov.in/en/events/view/MjYw,2024-06-30,16:30:00,2024-08-01,2024-08-15
Dilli Haat,Dilli Haat (Shilp Didi),https://indian.handicrafts.gov.in/en/events/view/MjYx,2024-06-30,16:30:00,2024-08-16,2024-08-31
"Gandhi Shilp Bazar National, States, District",GSB(District) at Salem,https://indian.handicrafts.gov.in/en/events/view/Mjcz,2024-06-28,23:45:00,2024-08-06,2024-08-12
"Gandhi Shilp Bazar National, States, District",GSB(District) at Mysuru,https://indian.handicrafts.gov.in/en/events/view/Mjcy,2024-06-27,23:45:00,2024-08-02,2024-08-08
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dimapur UH,https://indian.handicrafts.gov.in/en/events/view/MjY4,2024-06-25,23:45:00,2024-08-01,2024-08-07
"Gandhi Shilp Bazar National, States, District",GSB(District) at Leh,https://indian.handicrafts.gov.in/en/events/view/Mjcx,2024-06-25,23:45:00,2024-08-01,2024-08-07
"Gandhi Shilp Bazar National, States, District",GSB(District)-Rampur UH,https://indian.handicrafts.gov.in/en/events/view/Mjgx,2024-06-23,23:45:00,2024-07-01,2024-07-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jorhat,https://indian.handicrafts.gov.in/en/events/view/MjY3,2024-06-16,23:45:00,2024-07-01,2024-07-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Cherapunjee,https://indian.handicrafts.gov.in/en/events/view/MjY5,2024-06-16,23:45:00,2024-07-01,2024-07-07
Dilli Haat,Dilli Haat (Start Ups),https://indian.handicrafts.gov.in/en/events/view/MjU5,2024-05-30,16:15:00,2024-07-01,2024-07-15
Dilli Haat,Dilli Haat (GI Craft),https://indian.handicrafts.gov.in/en/events/view/MjU3,2024-05-20,15:30:00,2024-06-01,2024-06-15
Dilli Haat,Dilli Haat (ST artisans),https://indian.handicrafts.gov.in/en/events/view/MjU4,2024-05-20,13:00:00,2024-06-16,2024-06-30
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjU2,2024-05-08,23:45:00,2024-05-16,2024-05-31
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjU1,2024-03-31,23:45:00,2024-05-01,2024-05-15
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjQ3,2024-03-03,23:45:00,2024-04-16,2024-04-30
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjQ2,2024-02-29,23:45:00,2024-04-01,2024-04-15
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjQy,2024-02-14,17:00:00,2024-03-01,2024-03-15
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjI3,2024-01-14,23:45:00,2024-02-16,2024-02-29
