Type of Event,Event Details,Event Date,Apply Closing Date,Link,Closing Date for Apply,Closing Time for Apply,Event Start Date,Event End Date,location,latitude,longitude
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mamallapuram UH,08/02/2025 to 14/02/2025,2025-01-05 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzc5,2025-01-05,23:45:00,2025-02-08,2025-02-14,Mamallapuram UH,12.6207821,80.1944915
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar at Indore,10/01/2025 to 19/01/2025,2024-12-26 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDA3,2024-12-26,23:45:00,2025-01-10,2025-01-19,Indore,22.7195687,75.8577258
"Gandhi Shilp Bazar National, States, District",GSB(District)-Agra,28/01/2025 to 03/02/2025,2024-12-25 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzk4,2024-12-25,23:45:00,2025-01-28,2025-02-03,Agra,27.1766701,78.00807449999999
"Gandhi Shilp Bazar National, States, District",GSB(State)-Pudducherry,10/01/2025 to 19/01/2025,2024-12-23 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDA1,2024-12-23,23:45:00,2025-01-10,2025-01-19,Pudducherry,11.9415915,79.8083133
"Gandhi Shilp Bazar National, States, District",GSB(National)-Shilparamam (Madhapur),08/01/2025 to 17/01/2025,2024-12-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDA2,2024-12-15,23:45:00,2025-01-08,2025-01-17,Shilparamam (Madhapur),17.452573,78.3783065
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kakinada UH,10/01/2025 to 16/01/2025,2024-12-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzc4,2024-12-10,23:45:00,2025-01-10,2025-01-16,Kakinada UH,16.9890648,82.2474648
"Gandhi Shilp Bazar National, States, District",GSB(State)-Chennai,11/01/2025 to 20/01/2025,2024-12-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzgy,2024-12-10,23:45:00,2025-01-11,2025-01-20,Chennai,13.0843007,80.2704622
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jhansi UH,11/01/2025 to 17/01/2025,2024-12-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzg4,2024-12-10,23:45:00,2025-01-11,2025-01-17,Jhansi UH,25.4487699,78.5697526
"Gandhi Shilp Bazar National, States, District",GSB(National)-Prayagraj (Kumbh Mela),10/01/2025 to 19/01/2025,2024-12-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzkz,2024-12-10,23:45:00,2025-01-10,2025-01-19,Prayagraj (Kumbh Mela),25.468338,81.85460189999999
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kanyakumari UH,06/01/2025 to 12/01/2025,2024-12-05 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzc2,2024-12-05,23:45:00,2025-01-06,2025-01-12,Kanyakumari UH,8.0843512,77.54950190000001
"Gandhi Shilp Bazar National, States, District",GSB at Lucknow,13/12/2024 to 22/12/2024,2024-12-04 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDAy,2024-12-04,23:45:00,2024-12-13,2024-12-22,Lucknow,26.8466937,80.94616599999999
"Gandhi Shilp Bazar National, States, District",GSB(State)-Nadia,03/01/2025 to 12/01/2025,2024-11-30 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzc1,2024-11-30,23:45:00,2025-01-03,2025-01-12,Nadia,23.4709656,88.55653099999999
"Gandhi Shilp Bazar National, States, District",GSB(District)-Konark UH,27/12/2024 to 02/01/2025,2024-11-25 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mjk2,2024-11-25,23:45:00,2024-12-27,2025-01-02,Konark UH,19.8920686,86.091184
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mangaluru UH,24/12/2024 to 30/12/2024,2024-11-25 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzM4,2024-11-25,23:45:00,2024-12-24,2024-12-30,Mangaluru UH,12.8854777,74.8388112
